"","Name","City","Country","IATA","ICAO","Lat","Lon","Altitude","Timezone","DST","TZID"
"3533","Coulter Fld","Bryan","United States","CFD","KCFD",30.715694,-96.331361,367,-6,"A","America/Chicago"
"3534","Wright Aaf","Wright","United States","","KLHW",31.889097,-81.562333,45,-5,"A","America/New_York"
"3535","Newport News Williamsburg Intl","Newport News","United States","PHF","KPHF",37.131894,-76.492989,43,-5,"A","America/New_York"
"3536","Esler Rgnl","Alexandria","United States","ESF","KESF",31.394903,-92.295772,112,-6,"A","America/Chicago"
"3537","Altus Afb","Altus","United States","LTS","KLTS",34.667067,-99.266681,1382,-6,"A","America/Chicago"
"3538","Tucson Intl","Tucson","United States","TUS","KTUS",32.116083,-110.941028,2643,-7,"N","America/Phoenix"
"3539","Minot Afb","Minot","United States","MIB","KMIB",48.415572,-101.357661,1668,-6,"A","America/Chicago"
"3540","Beale Afb","Marysville","United States","BAB","KBAB",39.136089,-121.436567,113,-8,"A","America/Los_Angeles"
"3541","Greater Kankakee","Kankakee","United States","IKK","KIKK",41.071389,-87.846278,630,-6,"A","America/Chicago"
"3542","Seymour Johnson Afb","Goldsboro","United States","GSB","KGSB",35.339383,-77.960589,110,-5,"A","America/New_York"
"3543","Theodore Francis Green State","Providence","United States","PVD","KPVD",41.732581,-71.420383,55,-5,"A","America/New_York"
"3544","Salisbury Ocean City Wicomico Rgnl","Salisbury","United States","SBY","KSBY",38.340525,-75.510289,52,-5,"A","America/New_York"
"3545","Rancho Murieta","Rancho Murieta","United States","RIU","KRIU",38.486778,-121.102778,141,-8,"A","America/Los_Angeles"
"3546","Bob Hope","Burbank","United States","BUR","KBUR",34.200667,-118.358667,778,-8,"A","America/Los_Angeles"
"3547","Detroit Metro Wayne Co","Detroit","United States","DTW","KDTW",42.212444,-83.353389,645,-5,"A","America/New_York"
"3548","Tampa Intl","Tampa","United States","TPA","KTPA",27.975472,-82.53325,26,-5,"A","America/New_York"
"3549","Pembina Muni","Pembina","United States","PMB","KPMB",48.942501,-97.240833,795,-6,"A","America/Chicago"
"3550","Polk Aaf","Fort Polk","United States","POE","KPOE",31.044833,-93.191667,330,-6,"A","America/Chicago"
"3551","Eielson Afb","Fairbanks","United States","EIL","PAEI",64.665667,-147.1015,548,-9,"A","America/Anchorage"
